Count,Group
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
3083,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2991,3
2656,3
2656,3
2018,3
403,3
16,3
15,3
15,3
15,3
0,3
15,3
0,3
0,3
0,3
0,3
1875,3
0,3
0,3
0,3
847,3
360,3
0,3
0,3
2690,3
3848,3
0,3
2918,3
914,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
58,3
29,3
29,3
0,3
4965,3
680,3
146,3
496,3
0,3
0,3
446,3
446,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
3039,3
0,3
0,3
2,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
1156,3
1099,3
1099,3
1099,3
477,3
477,3
0,3
1426,3
4025,3
4025,3
4025,3
4025,3
4025,3
4025,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
21,3
0,3
0,3
0,3
0,3
0,3
856,3
3283,3
638,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
371,3
371,3
371,3
385,3
103,3
4551,3
4551,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
138,3
67,3
67,3
67,3
67,3
67,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
2913,3
323,3
339,3
236,3
236,3
95,3
278,3
278,3
386,3
460,3
179,3
476,3
0,3
0,3
0,3
0,3
0,3
938,3
2882,3
518,3
518,3
518,3
518,3
518,3
4841,3
4841,3
4841,3
1421,3
291,3
294,3
294,3
224,3
224,3
224,3
224,3
224,3
171,3
240,3
0,3
0,3
0,3
0,3
4443,3
0,3
367,3
266,3
43,3
0,3
43,3
64,3
825,3
555,3
555,3
3214,3
786,3
786,3
104,3
43,3
121,3
68,3
8,3
68,3
41,3
89,3
43,3
73,3
0,3
0,3
334,3
334,3
1782,3
2348,3
2348,3
1093,3
1093,3
1403,3
1149,3
0,3
0,3
2396,3
1649,3
1649,3
1490,3
1061,3
0,3
0,3
398,3
398,3
102,3
34,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
1572,3
1225,3
1225,3
1225,3
1225,3
1225,3
626,3
480,3
1,3
1,3
1,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
1572,3
1225,3
0,3
2586,3
0,3
914,3
890,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
914,3
47,3
0,3
376,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
149,3
149,3
149,3
149,3
149,3
149,3
149,3
0,3
0,3
0,3
0,3
0,3
0,3
2995,3
29,3
5,3
0,3
85,3
42,3
91,3
48,3
55,3
110,3
10,3
92,3
166,3
0,3
0,3
919,3
919,3
2299,3
2299,3
2299,3
0,3
0,3
0,3
1759,3
1759,3
1759,3
1759,3
841,3
3543,3
1588,3
1588,3
3087,3
958,3
0,3
0,3
0,3
0,3
0,3
1759,3
0,3
0,3
0,3
0,3
0,3
102,3
0,3
0,3
841,3
429,3
3034,3
371,3
0,3
0,3
430,3
1572,3
0,3
1099,3
0,3
22,3
0,3
0,3
958,3
0,3
111,3
0,3
2117,3
0,3
162,3
0,3
0,3
899,3
0,3
0,3
4965,3
480,3
958,3
0,3
429,3
