Class,Branch,Count_GA,Count_RW
com.google.common.math.BigIntegerMath,15,30,30
com.google.common.util.concurrent.Monitor,96,0,0
com.google.common.util.concurrent.Monitor,186,0,0
com.google.common.util.concurrent.Monitor,185,0,0
com.google.common.util.concurrent.Monitor,42,0,0
com.google.common.util.concurrent.Monitor,22,0,0
com.google.common.util.concurrent.Monitor,29,0,0
com.google.common.util.concurrent.Monitor,30,0,0
com.google.common.util.concurrent.Monitor,35,0,0
com.google.common.util.concurrent.Monitor,36,0,0
com.google.common.util.concurrent.Monitor,71,0,0
com.google.common.util.concurrent.Monitor,1,0,0
com.google.common.util.concurrent.Monitor,12,30,30
com.google.javascript.jscomp.CheckGlobalThis,45,0,0
com.google.javascript.jscomp.CheckGlobalThis,36,0,0
com.google.javascript.jscomp.CheckGlobalThis,15,0,0
com.google.javascript.jscomp.CheckGlobalThis,3,0,0
com.google.javascript.jscomp.CheckGlobalThis,73,0,0
com.google.javascript.jscomp.CheckGlobalThis,62,0,0
com.google.javascript.jscomp.CheckGlobalThis,71,0,0
com.google.javascript.jscomp.CollapseProperties,154,0,0
com.google.javascript.jscomp.CollapseProperties,192,0,0
com.google.javascript.jscomp.CollapseProperties,46,0,0
com.google.javascript.jscomp.CollapseProperties,169,0,0
com.google.javascript.jscomp.CollapseProperties,98,0,0
com.google.javascript.jscomp.CollapseProperties,24,0,0
com.google.javascript.jscomp.CollapseProperties,45,0,0
com.google.javascript.jscomp.CollapseProperties,135,0,0
com.google.javascript.jscomp.CollapseProperties,244,0,0
com.google.javascript.jscomp.CollapseProperties,4,0,0
com.google.javascript.jscomp.CollapseProperties,48,0,0
com.google.javascript.jscomp.CollapseProperties,10,0,0
com.google.javascript.jscomp.CollapseProperties,207,0,0
com.google.javascript.jscomp.CollapseProperties,262,0,0
com.google.javascript.jscomp.CollapseProperties,8,0,0
com.google.javascript.jscomp.CollapseProperties,126,0,0
com.google.javascript.jscomp.CollapseProperties,57,0,0
com.google.javascript.jscomp.CollapseProperties,138,30,29
com.google.javascript.jscomp.ControlFlowAnalysis,99,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,122,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,125,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,183,1,0
com.google.javascript.jscomp.ControlFlowAnalysis,349,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,267,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,261,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,292,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,171,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,152,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,296,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,20,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,208,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,407,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,210,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,19,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,213,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,139,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,15,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,397,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,395,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,198,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,242,27,10
com.google.javascript.jscomp.ControlFlowAnalysis,248,27,10
com.google.javascript.jscomp.ControlFlowAnalysis,225,25,12
com.google.javascript.jscomp.ControlFlowAnalysis,147,30,22
com.google.javascript.jscomp.ControlFlowAnalysis,312,30,28
com.google.javascript.jscomp.ControlFlowAnalysis,306,30,28
com.google.javascript.jscomp.ControlFlowAnalysis,338,30,29
