AC,ND,NV,IC,PIC,DBI,SR
0.9194178844,0.0958321429,0.0096428571,0.1092299106,0.0189367939,0.9584165126,0.5714285714
0.8903149989,0.0507601093,0.0028704918,0.1439313424,0.0306492285,0.945538186,0.8551912568
0.8376732808,0.2243411111,0.0032103704,0.0515973002,0.0088117747,0.9839611548,0.4892592593
0.660487613,0.2020655914,0.0023790323,0.0530073005,0.0093222255,0.9826173041,0.2419354839
0.8767003913,0.3676753333,0.0023746667,0.1095166833,0.0244357691,0.9567840571,0.42
0.8421216518,0.3563821429,0.0024980159,0.0795362304,0.0169161225,0.9705345293,0.6968253968
0.9055475821,0.0928768953,0.0075809868,0.1453670807,0.0310727093,0.9406443012,0.6648616125
0.8474171515,0.6278549145,0.0016470085,0.021097932,0.0036311953,0.9934146362,0.344017094
0.8003314134,0.2216035842,0.0025397849,0.0575404641,0.0102256378,0.9814133388,0.4401433692
0.8586348614,0.0338230769,0.0029,0.1694575113,0.0378455378,0.9344345731,0.5435897436
0.7556888582,0.5237243827,0.0017783951,0.0191727031,0.0028550155,0.9947224036,0.2350308642
0.764756102,0.4781327778,0.00196,0.0446649597,0.0085835836,0.9848726386,0.1666666667
0.7510038367,0.4140168776,0.0020312236,0.0339901642,0.0060296584,0.9892304674,0.1518987342
0.7842374417,0.0262844444,0.0053822222,0.2604747713,0.067111556,0.8836960969,0.6666666667
0.8099059036,0.2469834951,0.0044323625,0.0841581454,0.0165152207,0.969611362,0.7362459547
0.787311644,0.1706750249,0.0033064677,0.0482739302,0.0073997698,0.9854626419,0.6439800995
0.8238399146,0.1121166667,0.0030752252,0.097848247,0.0187299913,0.9658252301,0.6936936937
0.7860892926,0.1976530786,0.0030602972,0.0629968003,0.0111043103,0.9797990254,0.6605095541
0.8744804398,0.3361063291,0.0030291139,0.0662828618,0.0130020316,0.9768027798,0.6345991561
0.8659142746,0.1277773585,0.0031893082,0.0920562932,0.0185267028,0.9675566928,0.8295597484
0.8816428906,0.1147973545,0.0044195767,0.1049624332,0.020943695,0.9619522277,0.7529100529
0.8781290694,0.414746131,0.0021622024,0.0638280867,0.0135614781,0.9768824222,0.5333333333
0.9226912818,0.1792004878,0.0047985366,0.0844852858,0.0157664982,0.9698708971,0.6086178862
0.8192716232,0.3118179941,0.0024176991,0.0600687452,0.0114565893,0.9798595966,0.6498525074
0.8618582996,0.4085659524,0.001942619,0.0441542413,0.0084579818,0.9854568564,0.2935714286
0.8762264826,0.3705833333,0.0018903509,0.0372848984,0.0062839155,0.9890014302,0.1021929825
0.8394691431,0.2501828358,0.0038114428,0.0641859867,0.0118113138,0.9781463626,0.7004975124
0.8710787231,0.2710819121,0.0030139535,0.0648332587,0.0120821079,0.9781487289,0.4434108527
0.8186106932,0.2480064655,0.0039104885,0.0652404918,0.0110335911,0.9785255522,0.3987068966
0.8569355719,0.0172460784,0.0408843137,0.2502860365,0.0536907496,0.8722061218,0.6223529412
0.8207826968,0.3008119403,0.0026741294,0.0693305188,0.0137849292,0.9755398689,0.4069651741
0.8458676441,0.0578444444,0.0021731481,0.1346970399,0.0290846402,0.9508259041,0.1657407407
0.9538496255,0.9070754789,0.0012183908,0.0168468436,0.0043840776,0.9930258541,0.5222222222
0.5397611552,0.3259647059,0.002445098,0.0266526158,0.0037252939,0.9929228673,0.0705882353
0.8755754809,0.0157604167,0.0151645833,0.2480591751,0.0589881548,0.8868792247,0.625
0.9586799181,0.4732460993,0.0015957447,0.0737223382,0.015783159,0.9727091846,0.0425531915
0.9152296664,0.0574873874,0.0049630631,0.170131902,0.0344835827,0.9290948521,0.5936936937
0.9024037297,0.5348716374,0.0016649123,0.0335658683,0.0059203941,0.9894902425,0.0619883041
0.9237292242,0.5580702595,0.0017113107,0.0289289653,0.0049748351,0.9910785912,0.075249501
0.9137803178,0.0266323671,0.0024859903,0.1601689429,0.0353537112,0.9386318298,0.6956521739
0.8464677465,0.3080763636,0.0145121212,0.1003348613,0.0158042891,0.9563059381,0.9818181818
0.7891043356,0.0287722222,0.0025,0.2878631043,0.0751807363,0.871183011,0.5
0.8106748324,0.0125,0.016625,0.2900325306,0.0761344678,0.8658887999,0.25
0.8745344414,0.0619234234,0.0026315315,0.1368265034,0.0292869446,0.9492479026,0.4324324324
0.1083545616,0.0074244444,0.0023,0.3913070831,0.1698542987,0.7813628758,0.2666666667
0.766263989,0.0152238095,0.0022857143,0.3412725825,0.0979932313,0.8413524413,0.2857142857
0.6617959476,0.04425,0.002,0.3506385864,0.1068735402,0.844246575,0
0.8734103939,0.4169189815,0.0018037037,0.0831292533,0.0204125422,0.9676489295,0.25
0.8043680176,0.0631195402,0.0028049425,0.3209486618,0.0926684155,0.8513147028,0.4613793103
0.7320710352,0.0375038012,0.0030225146,0.4066749027,0.1289902476,0.8052036191,0.4916666667
0.7863020318,0.1848904669,0.002360441,0.0870000067,0.0180755983,0.9691958214,0.4354085603
0.8632202909,0.021783871,0.0080064516,0.2544907156,0.0611697719,0.8849188771,0.7741935484
0.8825323952,0.4818407407,0.0020061728,0.0528851454,0.0105228685,0.9812003865,0.1648148148
0.9852341852,0.9289016484,0.0033580586,0.0262587566,0.0070007737,0.986763903,0.0384615385
